Event Title,Date,Location,Image URL,Event URL
ACELP Childrens Week,12th Dec - 16th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/acelp-childrens-week-1732522960-2283.jpeg,https://ticketwala.pk/event/acelp-childrens-week-2283
The Winter Gala Karachi,13th Dec - 15th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/the-winter-gala-karachi-1732166206-2268.jpg,https://ticketwala.pk/event/the-winter-gala-karachi-2268
Hans Do! Best of Akbar Chaudry and Ammar Zaidi,13th Dec - 19th Dec,Faisalabad,https://v2.ticketwala.pk/uploads/events/banner/hans-do-best-of-akbar-chaudry-and-ammar-zaidi-1733561944-2338.jpeg,https://ticketwala.pk/event/hans-do-best-of-akbar-chaudry-and-ammar-zaidi-2338
Hasan Raheem Unfiltered- Karachi,13th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/hasan-raheem-unfiltered-karachi-1731584283-2246.jpeg,https://ticketwala.pk/event/hasan-raheem-unfiltered-karachi-2246
LIVEPLAY - A Tribute To Coldplay By Ikigai,13th Dec,Lahore,https://v2.ticketwala.pk/uploads/events/banner/liveplay-a-tribute-to-coldplay-by-ikigai-1733041760-2313.png,https://ticketwala.pk/event/liveplay-a-tribute-to-coldplay-by-ikigai-2313
Coffee Bar,13th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/coffee-bar-1732917593-2312.png,https://ticketwala.pk/event/coffee-bar-2312
BILAL BROHI LIVE AND EXCLUSIVE IN ISTANBUL,13th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/bilal-brohi-live-and-exclusive-in-istanbul-1731668327-2253.jpeg,https://ticketwala.pk/event/bilal-brohi-live-and-exclusive-in-istanbul-2253
The Commons Karachi - Picnic x Together - Lahore,14th Dec,Lahore,https://v2.ticketwala.pk/uploads/events/banner/the-commons-karachi-picnic-x-together-lahore-1732870855-2309.jpg,https://ticketwala.pk/event/the-commons-karachi-picnic-x-together-lahore-2309
"Back In Focus - 14th December, 2024",14th Dec,Lahore,https://v2.ticketwala.pk/uploads/events/banner/back-in-focus-14th-december-2024-1732786488-2305.jpeg,https://ticketwala.pk/event/back-in-focus-14th-december-2024-2305
Netflix and Chill,14th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/netflix-and-chill-1732614647-2273.png,https://ticketwala.pk/event/netflix-and-chil-2273
