Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad),Fill (product.metafields.custom.fill),Designer (product.metafields.custom.designer),Shape (product.metafields.custom.shape)
Kairos - Mirta Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_2.jpg",,,,,,,,,,,,,,,,,
Kairos - Mirta Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_3.jpg",,,,,,,,,,,,,,,,,
Kairos - Mirta Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_rug151768_rnr_hs-2.jpg",,,,,,,,,,,,,,,,,
Kairos - Mirta Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_rug151767_rnr_hs-2.jpg",,,,,,,,,,,,,,,,,
Kairos - Mirta Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_rug146965_rnr.jpg",,,,,,,,,,,,,,,,,
Kairos - Mirta Area Rug,"<div class=""product-overview-data"">
<p><p>Subtle distressing lends even sophistication to the classic medallion motifs on our Jaipur Living Kairos Mirta rug. Of course, its polyester construction and playful palette grant this floor covering practicality and a touch of fun.</p><ul><li>The design is printed directly onto the flat polyester surface. No pile ensures durability in a kid- and pet-friendly household.</li><li>Because of its synthetic makeup, the family-friendly Kairos collection is extremely easy to maintain and naturally resistant to stains. </li><li> A mix of traditional and Moroccan elements lend timeless charm to this playful, pink-and-blue hued floor covering, no matter if it's placed in your entryway or master suite. </li><li> Our polyester indoor rug is incredibly comfortable and durable thanks to its low pile of power-loomed yarns. </li><li> Vacuuming your rug regularly is the easiest way to maintain healthy fibers and prolong its life.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Pink, Blue ",Size,"2'6"" x 7'6"" Rectangular runner",224.00,103.5,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_rug146965_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07.jpg",1.0,Mirta,"Pink, Blue (KAR-07)",Bohemian,100% Polyester,Machine-Made,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
Kairos - Mirta Area Rug,"<div class=""product-overview-data"">
<p><p>Subtle distressing lends even sophistication to the classic medallion motifs on our Jaipur Living Kairos Mirta rug. Of course, its polyester construction and playful palette grant this floor covering practicality and a touch of fun.</p><ul><li>The design is printed directly onto the flat polyester surface. No pile ensures durability in a kid- and pet-friendly household.</li><li>Because of its synthetic makeup, the family-friendly Kairos collection is extremely easy to maintain and naturally resistant to stains. </li><li> A mix of traditional and Moroccan elements lend timeless charm to this playful, pink-and-blue hued floor covering, no matter if it's placed in your entryway or master suite. </li><li> Our polyester indoor rug is incredibly comfortable and durable thanks to its low pile of power-loomed yarns. </li><li> Vacuuming your rug regularly is the easiest way to maintain healthy fibers and prolong its life.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Pink, Blue ",Size,"2'6"" x 10' Rectangular runner",298.00,137.25,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_rug146965_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07.jpg",1.0,Mirta,"Pink, Blue (KAR-07)",Bohemian,100% Polyester,Machine-Made,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
Kairos - Mirta Area Rug,"<div class=""product-overview-data"">
<p><p>Subtle distressing lends even sophistication to the classic medallion motifs on our Jaipur Living Kairos Mirta rug. Of course, its polyester construction and playful palette grant this floor covering practicality and a touch of fun.</p><ul><li>The design is printed directly onto the flat polyester surface. No pile ensures durability in a kid- and pet-friendly household.</li><li>Because of its synthetic makeup, the family-friendly Kairos collection is extremely easy to maintain and naturally resistant to stains. </li><li> A mix of traditional and Moroccan elements lend timeless charm to this playful, pink-and-blue hued floor covering, no matter if it's placed in your entryway or master suite. </li><li> Our polyester indoor rug is incredibly comfortable and durable thanks to its low pile of power-loomed yarns. </li><li> Vacuuming your rug regularly is the easiest way to maintain healthy fibers and prolong its life.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Pink, Blue ",Size,"2'6"" x 12' Rectangular runner",358.00,165.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_rug146965_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07.jpg",1.0,Mirta,"Pink, Blue (KAR-07)",Bohemian,100% Polyester,Machine-Made,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
Kairos - Mirta Area Rug,"<div class=""product-overview-data"">
<p><p>Subtle distressing lends even sophistication to the classic medallion motifs on our Jaipur Living Kairos Mirta rug. Of course, its polyester construction and playful palette grant this floor covering practicality and a touch of fun.</p><ul><li>The design is printed directly onto the flat polyester surface. No pile ensures durability in a kid- and pet-friendly household.</li><li>Because of its synthetic makeup, the family-friendly Kairos collection is extremely easy to maintain and naturally resistant to stains. </li><li> A mix of traditional and Moroccan elements lend timeless charm to this playful, pink-and-blue hued floor covering, no matter if it's placed in your entryway or master suite. </li><li> Our polyester indoor rug is incredibly comfortable and durable thanks to its low pile of power-loomed yarns. </li><li> Vacuuming your rug regularly is the easiest way to maintain healthy fibers and prolong its life.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Pink, Blue ",Size,"5' x 7'6"" Rectangular",410.00,188.25,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_rug146965_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07.jpg",1.0,Mirta,"Pink, Blue (KAR-07)",Bohemian,100% Polyester,Machine-Made,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
Kairos - Mirta Area Rug,"<div class=""product-overview-data"">
<p><p>Subtle distressing lends even sophistication to the classic medallion motifs on our Jaipur Living Kairos Mirta rug. Of course, its polyester construction and playful palette grant this floor covering practicality and a touch of fun.</p><ul><li>The design is printed directly onto the flat polyester surface. No pile ensures durability in a kid- and pet-friendly household.</li><li>Because of its synthetic makeup, the family-friendly Kairos collection is extremely easy to maintain and naturally resistant to stains. </li><li> A mix of traditional and Moroccan elements lend timeless charm to this playful, pink-and-blue hued floor covering, no matter if it's placed in your entryway or master suite. </li><li> Our polyester indoor rug is incredibly comfortable and durable thanks to its low pile of power-loomed yarns. </li><li> Vacuuming your rug regularly is the easiest way to maintain healthy fibers and prolong its life.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Pink, Blue ",Size,6' x 9' Rectangular,590.00,273.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07_rug146965_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/18904/142430/229296/ws_kar07.jpg",1.0,Mirta,"Pink, Blue (KAR-07)",Bohemian,100% Polyester,Machine-Made,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
